image,repo,age_days,pull_count,size_mb,n_tags,packages,vuln_critical,vuln_high,vuln_medium,vuln_low,vuln_total,secrets,misconfig,malware
almalinux@sha256:b3ad73a13e65a4d2f385522e373cd85a0f5890c89ca4495548e544648ef53406,library/almalinux,573,14397230,70.4,1,139,2,81,287,181,551,6,4,5
almalinux@sha256:b2f77543f1a36808539b61f17bdc556486ad97c5f6a8d97b69b89d33212b73ab,library/almalinux,471,14397230,66.0,1,130,2,77,284,178,541,6,4,5
almalinux@sha256:679e2e5bf31ab54da2c60f599f713b6ce7e193eec1560ba842e852a0a70800ef,library/almalinux,402,14397230,66.7,1,132,1,74,284,178,537,6,4,5
almalinux@sha256:a93fb527eb1de6aaf1495717ea21e75d1f549e482b09bee1a67950db5f2b246a,library/almalinux,367,14397230,66.7,1,132,1,68,278,178,525,6,4,5
almalinux@sha256:7df1d73b7131ffa3bd3364b118a0714102db63b3e1ecc6132c2d6a410644fedb,library/almalinux,366,14397230,67.2,1,132,1,68,274,178,521,6,4,5
almalinux@sha256:ede2730f895acc072d9cd5542f7122d6b5e89b4ae5993c541924bc21580e225a,library/almalinux,344,14397230,67.2,1,132,1,65,272,178,516,6,4,5
almalinux@sha256:7831bce0eccbaec4e75663d8afc470913beafb308ab0ae32c12626078a93fc25,library/almalinux,316,14397230,67.0,1,132,1,65,269,178,513,6,4,5
almalinux@sha256:0c421818ae0d7e83558e2348f74668a36008d92bdd793db98e1fda4a15bb07dc,library/almalinux,311,14397230,67.0,1,133,1,63,269,178,511,6,4,5
almalinux@sha256:93d370eb67bb50b25f58b4c76358f3c046e3a02dcffe1e4c7472ab2abe2877a6,library/almalinux,290,14397230,67.3,1,133,1,60,268,178,507,6,4,5
almalinux@sha256:8cf8d8b82a50a85cbfdfeee75e46deb76f8fedd96bb2a60abdca4696b7c12ac9,library/almalinux,267,14397230,67.0,1,134,1,58,268,194,521,6,4,5
almalinux@sha256:6ade1f8ef925d5b9bde30c610de2897b8d13647a4a033f92c12cadf1864a3470,library/almalinux,254,14397230,67.0,1,134,1,58,261,194,514,6,4,5
almalinux@sha256:108fee5423b4605957d44ac6c7dd80fe2ff34c43fa453e07d496e4484fd474c1,library/almalinux,185,14397230,67.5,1,134,1,57,242,191,491,6,4,5
almalinux@sha256:f332a1f98dd60ab447f36c7f7ce072471eec249ee8568f76665098a06c8ad767,library/almalinux,136,14397230,67.5,1,134,1,55,220,191,467,6,4,5
almalinux@sha256:6ff6db4a291ce0c0c48a05d94f97b763b5d9d5662cc0583759231365c0c89183,library/almalinux,112,14397230,67.5,1,134,1,55,214,191,461,6,4,5
almalinux@sha256:d99dfc8ae77ebf5e872d3b470f8179ad51a7a67e0614273849788a3707a28503,library/almalinux,83,14397230,67.5,1,134,1,28,195,170,394,6,4,5
almalinux@sha256:c9f52f960b18f6e0ccb820eb010156f15fb7c9924e910d672cf4500b794dbf7c,library/almalinux,52,14397230,67.5,1,134,1,28,180,170,379,6,4,5
almalinux@sha256:86d512c37b5b6aae3beae3d84e83538e9d05d65a5cdee95bc1d0fc123bd21683,library/almalinux,44,14397230,68.6,1,144,1,14,156,170,341,6,4,5
almalinux@sha256:0e4e7bce15b729b15a918bd3878a4f374a31c1e076d9d5dc216bd3213280dd4b,library/almalinux,23,14397230,68.6,1,144,1,14,154,170,339,6,4,5
almalinux@sha256:c2645601ebae7bf3354336b501a53e324a38532110af517d50034a75851c0f9f,library/almalinux,17,14397230,68.6,1,144,1,14,154,170,339,6,4,5
clearlinux@sha256:e9aef15e29788a0beec6b91c51e648719fbd926e21ef7087c3992548b72cc082,library/clearlinux,339,6931505,70.6,2,6,1,13,29,1,44,10,4,14
debian@sha256:b14ba1f414157ca80252016aa2f6ce0226b9a05c625d089491d94a85b220ffd9,library/debian,2,1625572102,30.3,4,96,17,102,192,115,520,17,4,3
debian@sha256:cf7b10d27ddb50e2089cc618dc274ae57de64eb1468fa5e46155c99a5a8dc824,library/debian,2,1625572102,53.8,4,96,17,102,192,115,520,17,4,3
debian@sha256:b29f74a267526ae6ea104eed6c46133b0ca70ce812525df8cd5817698f0a624a,library/debian,2,1625572102,28.2,4,88,14,42,144,84,358,3,4,2
debian@sha256:2749ca60ffb3c42de053229d7967d292d7dad1067936b38995da0bbfb96c4c23,library/debian,13,1625572102,28.2,2,88,14,69,180,93,429,3,4,2
debian@sha256:8c181802d706019b2ee6237441b3fb8691b92b5705daf7c4294e7405576c4a0d,library/debian,13,1625572102,48.5,2,88,14,69,180,93,429,3,4,2
debian@sha256:6b2217693a4963470f76adbee0d8d5371293fd102bfe3bcb77615566b0b0efe7,library/debian,2,1625572102,48.5,4,88,14,42,144,84,357,3,4,2
debian@sha256:ed8750007edb5cb6c6e69d930d3fe3f1af60e759f05de5362be014d498d5f25f,library/debian,2,1625572102,29.8,4,78,6,28,111,101,317,1,4,2
debian@sha256:b29a157cc8540addda9836c23750e389693bf3b6d9a932a55504899e5601a66b,library/debian,86,1625572102,29.8,2,78,12,82,157,109,453,1,4,2
debian@sha256:13f29b6806e531c3ff3b565bb6eed73f2132506c8c9d41bb996065ca20fb27f2,library/debian,86,1625572102,49.3,2,78,12,82,157,84,392,1,4,2
debian@sha256:486b1c3d3a6a836d2518d5ac1a7b522050a034ae83b47c063fd45d550b2b9dbf,library/debian,13,1625572102,29.8,2,78,6,39,144,80,325,1,4,2
debian@sha256:de6a8f94c0e84f57a8e29769966b9d8c199b0891634280ad75ad804cf9827825,library/debian,13,1625572102,49.3,2,78,6,39,144,80,325,1,4,2
debian@sha256:2477d9ee0ead4370c778ce3aa42258a0b07684d1a84ded8f4af518383fbc3f2d,library/debian,2,1625572102,49.3,5,78,6,28,111,76,278,1,4,2
debian@sha256:4597310451ef8bdab2918ffab014cf3feda9a6dba534211b604aba139ba1fbf5,library/debian,2945,1625572102,30.1,1,101,9,112,145,111,544,2,4,3
debian@sha256:7d57795e2420b0a469ba3d7222b98eed24fc59e0bb1184a8cadcd322ace0dff4,library/debian,2945,1625572102,54.3,2,111,9,113,162,117,572,2,4,3
debian@sha256:2340a704d1f8f9ecb51c24d9cbce9f5ecd301b6b8ea1ca5eaba9edee46a2436d,library/debian,3551,1625572102,51.4,1,104,22,165,284,114,778,2,4,3
debian@sha256:f7062cf040f67f0c26ff46b3b44fe036c29468a7e69d8170f37c57f2eec1261b,library/debian,3446,1625572102,51.4,1,104,22,152,261,114,739,2,4,3
debian@sha256:c3f000ba6bbe71906ca249be92bd04dc3f514d2dd905e0c5f226e8035ee55031,library/debian,3314,1625572102,52.6,1,104,22,148,244,113,715,2,4,3
debian@sha256:4bc62f74d246e8428be8dd3833461ba2cfd135064aed4001f3c12b87a011e30c,library/debian,3257,1625572102,52.6,2,104,22,142,240,113,696,2,4,3
debian@sha256:203ac6c7e4a4fc7b1a325cfed9bde70da3eac6eafbd1f8fc53238e86e48801e5,library/debian,3120,1625572102,52.6,2,104,21,141,232,113,682,2,4,3
debian@sha256:7d067f77d2ae5a23fe6920f8fbc2936c4b0d417e9d01b26372561860750815f0,library/debian,3257,1625572102,45.1,2,81,82,205,147,109,692,2,4,3
debian@sha256:2335c729b8a6764c52a3cbfe43d1450d5e782638c986d237ffc30ca33881c3e3,library/debian,3172,1625572102,45.1,2,81,82,199,145,109,682,2,4,3
debian@sha256:bbf1cea2d08a16b1a2c2706869cf49b0ec488297f64ee10ff915ba93e4b064b1,library/debian,3120,1625572102,45.1,2,81,64,171,89,109,579,2,4,3
